subj,b_name,a_name,b_offA,a_on_c,a_off_c,rolling_b_on_c,rolling_b_off_c
p2np_s120,doolhof,zee,432.179459,-48.85488735,-98.65678186,-172.180028,262.518684
p2np_s121,duif,hemd,269.0205642,-20.50488735,-60.65985286,1.738298894,355.920959
p2np_s121,duivel,herder,307.9307722,-38.56322035,-52.78658886,82.59964079,415.937745
p2np_s121,been,mand,634.7781899,112.8524846,16.27827814,70.33147279,73.13293497
p2np_s121,kikker,masker,88.96712001,39.72150165,66.25125814,61.18468299,48.55798797
p2np_s121,kip,naald,177.3812653,226.8459456,215.5473231,253.0317783,230.02334
p2np_s121,doos,nagel,215.6043385,34.48353865,67.38789014,33.44494849,48.60854197
p2np_s121,tang,pan,473.1235846,130.7077866,-113.0542979,135.7009563,53.96286997
p2np_s121,baby,panda,268.6595504,84.11463065,-41.23332986,193.5332314,136.405644
p2np_s121,wolf,ridder,223.4240605,215.4395566,286.9909401,30.74634859,-46.37908803
p2np_s121,cactus,rits,275.414783,-79.97942435,-19.54179786,44.10140349,160.085757
p2np_s121,tandarts,schaduw,208.5646155,-168.5355244,-36.79339986,2.495362094,446.177956
p2np_s121,wortel,vlieg,209.9310613,-133.9487974,-150.5433999,14.24105989,452.814873
p2np_s121,kast,vliegtuig,160.7496775,-85.49030435,153.3887581,168.9656981,312.891519
p2np_s121,lamp,zebra,316.3988252,41.10789965,108.7207021,45.99397009,78.72174097
p2np_s121,doolhof,zee,473.3685729,-48.85488735,-98.65678186,58.02169039,237.441467
p2np_s122,duif,hemd,367.1366112,-20.50488735,-60.65985286,-34.78576131,-0.565502034
p2np_s122,been,mand,98.99493114,112.8524846,16.27827814,-24.45077451,141.882159
p2np_s122,kip,naald,197.9366241,226.8459456,215.5473231,-34.84858851,36.02881797
p2np_s122,doos,nagel,174.5617534,34.48353865,67.38789014,48.27006579,-9.159551034
p2np_s122,tang,pan,955.3089783,130.7077866,-113.0542979,-137.7432611,152.060451
p2np_s122,baby,panda,138.7910221,84.11463065,-41.23332986,-88.16612051,114.767517
p2np_s122,wolf,ridder,115.5667521,215.4395566,286.9909401,-87.10999461,100.204478
p2np_s122,cactus,rits,206.3305829,-79.97942435,-19.54179786,134.9620596,26.97162797
p2np_s122,ladder,schaar,137.4193912,-93.20905435,-61.84648486,39.39787919,81.50325197
p2np_s122,tandarts,schaduw,152.9698756,-168.5355244,-36.79339986,-6.825076606,245.967788
p2np_s122,wortel,vlieg,228.5103892,-133.9487974,-150.5433999,-24.50262921,166.186068
p2np_s122,kast,vliegtuig,15.35161232,-85.49030435,153.3887581,-79.04304961,202.920821
p2np_s122,lamp,zebra,226.9606909,41.10789965,108.7207021,1.807629094,356.217049
p2np_s122,doolhof,zee,133.5103925,-48.85488735,-98.65678186,-17.26374891,224.005182
p2np_s123,duif,hemd,182.3787705,-20.50488735,-60.65985286,-159.9964368,96.89286397
p2np_s123,duivel,herder,310.919293,-38.56322035,-52.78658886,-205.1092437,262.959119
p2np_s123,been,mand,120.5818786,112.8524846,16.27827814,-95.55121141,307.438346
p2np_s123,kikker,masker,15.25326315,39.72150165,66.25125814,-146.3381175,8.932678966
p2np_s123,tang,pan,231.5200803,130.7077866,-113.0542979,-172.2358362,259.916421
p2np_s123,wolf,ridder,75.73682016,215.4395566,286.9909401,-35.45472811,57.31436397
p2np_s123,cactus,rits,102.2659626,-79.97942435,-19.54179786,-122.3825404,117.587844
p2np_s123,ladder,schaar,126.6887576,-93.20905435,-61.84648486,-129.1138723,168.704303
p2np_s123,tandarts,schaduw,55.59032115,-168.5355244,-36.79339986,-173.3078276,341.729892
p2np_s123,wortel,vlieg,146.6363888,-133.9487974,-150.5433999,-72.61251101,122.551316
p2np_s123,lamp,zebra,57.12157063,41.10789965,108.7207021,-105.7342212,67.00705597
p2np_s123,doolhof,zee,389.6416169,-48.85488735,-98.65678186,-137.0037807,249.465281
p2np_s124,duif,hemd,269.0776065,-20.50488735,-60.65985286,296.7205898,382.089804
p2np_s124,duivel,herder,525.1017426,-38.56322035,-52.78658886,86.26734809,316.889691
p2np_s124,kip,naald,570.2223193,226.8459456,215.5473231,193.0433727,64.95237497
